chr	start	end	BS	BS.norm	boundary	TADid	TAD
I	670000	674999	  3.959	-6.179e-01	0	8	1
I	675000	679999	  4.030	-5.476e-01	0	8	1
I	680000	684999	  4.031	-5.464e-01	0	8	1
I	685000	689999	  4.085	-4.924e-01	0	8	1
I	690000	694999	  4.242	-3.355e-01	0	8	1
I	695000	699999	  4.441	-1.367e-01	0	8	1
I	700000	704999	  4.732	 1.549e-01	0	8	1
I	705000	709999	  4.911	 3.341e-01	0	8	1
I	710000	714999	  4.948	 3.706e-01	0	8	1
I	715000	719999	  5.075	 4.980e-01	0	8	1
I	720000	724999	  5.139	 5.620e-01	0	8	1
I	725000	729999	  5.180	 6.031e-01	0	8	1
I	730000	734999	  5.296	 7.184e-01	0	8	1
I	735000	739999	  5.662	 1.084e+00	1	8.5	0
I	740000	744999	  5.229	 6.516e-01	0	9	1
I	745000	749999	  4.802	 2.247e-01	0	9	1
I	750000	754999	  4.509	-6.813e-02	0	9	1
I	755000	759999	  4.256	-3.214e-01	0	9	1
I	760000	764999	  4.148	-4.298e-01	0	9	1
I	765000	769999	  4.079	-4.983e-01	0	9	1
I	770000	774999	  4.144	-4.338e-01	0	9	1
I	775000	779999	  4.138	-4.397e-01	0	9	1
I	780000	784999	  4.080	-4.973e-01	0	9	1
I	785000	789999	  4.007	-5.702e-01	0	9	1
I	790000	794999	  4.014	-5.634e-01	0	9	1
I	795000	799999	  4.039	-5.388e-01	0	9	1
I	800000	804999	  4.161	-4.167e-01	0	9	1
I	805000	809999	  4.244	-3.337e-01	0	9	1
I	810000	814999	  4.352	-2.249e-01	0	9	1
I	815000	819999	  4.385	-1.922e-01	0	9	1
I	820000	824999	  4.417	-1.605e-01	0	9	1
I	825000	829999	  4.491	-8.586e-02	0	9	1
I	830000	834999	  4.436	-1.409e-01	0	9	1
I	835000	839999	  4.410	-1.675e-01	0	9	1
I	840000	844999	  4.623	 4.558e-02	0	9	1
I	845000	849999	  4.861	 2.836e-01	0	9	1
I	850000	854999	  5.012	 4.343e-01	1	9.5	0
I	855000	859999	  4.896	 3.190e-01	0	10	1
I	860000	864999	  4.743	 1.653e-01	0	10	1
I	865000	869999	  4.672	 9.429e-02	0	10	1
I	870000	874999	  4.586	 8.594e-03	0	10	1
I	875000	879999	  4.580	 2.977e-03	0	10	1
I	880000	884999	  4.506	-7.138e-02	0	10	1
I	885000	889999	  4.263	-3.147e-01	0	10	1
I	890000	894999	  4.295	-2.819e-01	0	10	1
I	895000	899999	  4.188	-3.898e-01	0	10	1
I	900000	904999	  4.008	-5.690e-01	0	10	1
I	905000	909999	  3.980	-5.972e-01	0	10	1
I	910000	914999	  4.210	-3.670e-01	0	10	1
I	915000	919999	  4.421	-1.568e-01	0	10	1
I	920000	924999	  4.564	-1.310e-02	0	10	1
I	925000	929999	  4.853	 2.759e-01	0	10	1
I	930000	934999	  5.070	 4.930e-01	1	10.5	0
I	935000	939999	  4.935	 3.581e-01	0	11	0
I	940000	944999	  4.660	 8.299e-02	0	11	0
I	945000	949999	  4.623	 4.608e-02	0	11	0
I	950000	954999	  4.633	 5.544e-02	0	11	0
I	955000	959999	  4.842	 2.646e-01	0	11	0
I	960000	964999	  5.169	 5.912e-01	1	11.5	0
I	965000	969999	  5.115	 5.378e-01	0	12	0
I	970000	974999	  4.805	 2.281e-01	0	12	0
I	975000	979999	  4.673	 9.528e-02	0	12	0
I	980000	984999	  4.808	 2.309e-01	0	12	0
I	985000	989999	  4.874	 2.966e-01	1	12.5	0
I	990000	994999	  4.787	 2.093e-01	0	13	0
I	995000	999999	  4.781	 2.041e-01	0	13	0
I	1000000	1004999	  4.842	 2.645e-01	1	13.5	0
I	1005000	1009999	  4.753	 1.754e-01	0	14	1
I	1010000	1014999	  4.325	-2.520e-01	0	14	1
I	1015000	1019999	  4.086	-4.909e-01	0	14	1
I	1020000	1024999	  3.929	-6.487e-01	0	14	1
I	1025000	1029999	  3.842	-7.349e-01	0	14	1
I	1030000	1034999	  3.800	-7.772e-01	0	14	1
I	1035000	1039999	  3.871	-7.060e-01	0	14	1
I	1040000	1044999	  3.934	-6.434e-01	0	14	1
I	1045000	1049999	  4.056	-5.213e-01	0	14	1
I	1050000	1054999	  4.302	-2.756e-01	0	14	1
I	1055000	1059999	  4.519	-5.845e-02	0	14	1
I	1060000	1064999	  4.653	 7.522e-02	0	14	1
I	1065000	1069999	  4.758	 1.809e-01	0	14	1
I	1070000	1074999	  4.847	 2.698e-01	1	14.5	0
I	1075000	1079999	  4.613	 3.615e-02	0	15	1
I	1080000	1084999	  4.460	-1.175e-01	0	15	1
I	1085000	1089999	  4.321	-2.559e-01	0	15	1
I	1090000	1094999	  4.194	-3.838e-01	0	15	1
I	1095000	1099999	  4.005	-5.724e-01	0	15	1
I	1100000	1104999	  3.839	-7.379e-01	0	15	1
I	1105000	1109999	  3.868	-7.097e-01	0	15	1
I	1110000	1114999	  3.993	-5.845e-01	0	15	1
I	1115000	1119999	  4.187	-3.903e-01	0	15	1
I	1120000	1124999	  4.293	-2.846e-01	0	15	1
I	1125000	1129999	  4.429	-1.484e-01	0	15	1
I	1130000	1134999	  4.692	 1.147e-01	0	15	1
I	1135000	1139999	  4.708	 1.311e-01	0	15	1
I	1140000	1144999	  4.714	 1.369e-01	0	15	1
I	1145000	1149999	  4.772	 1.947e-01	0	15	1
I	1150000	1154999	  4.703	 1.261e-01	0	15	1
I	1155000	1159999	  4.915	 3.372e-01	0	15	1
I	1160000	1164999	  4.994	 4.163e-01	1	15.5	0
I	1165000	1169999	  4.815	 2.376e-01	0	16	0
I	1170000	1174999	  4.743	 1.660e-01	0	16	0
I	1175000	1179999	  5.047	 4.692e-01	0	16	0
I	1180000	1184999	  5.233	 6.557e-01	1	16.5	0
I	1185000	1189999	  5.120	 5.430e-01	0	17	0
I	1190000	1194999	  5.153	 5.757e-01	0	17	0
I	1195000	1199999	  5.418	 8.407e-01	0	17	0
I	1200000	1204999	  5.479	 9.021e-01	1	17.5	0
I	1205000	1209999	  5.070	 4.922e-01	0	18	1
I	1210000	1214999	  4.798	 2.205e-01	0	18	1
I	1215000	1219999	  4.729	 1.513e-01	0	18	1
I	1220000	1224999	  4.508	-6.982e-02	0	18	1
I	1225000	1229999	  4.435	-1.425e-01	0	18	1
I	1230000	1234999	  4.554	-2.346e-02	0	18	1
I	1235000	1239999	  4.698	 1.206e-01	0	18	1
I	1240000	1244999	  4.810	 2.327e-01	1	18.5	0
I	1245000	1249999	  4.636	 5.848e-02	0	19	1
I	1250000	1254999	  4.353	-2.240e-01	0	19	1
I	1255000	1259999	  4.278	-2.992e-01	0	19	1
I	1260000	1264999	  4.309	-2.679e-01	0	19	1
I	1265000	1269999	  3.623	-9.538e-01	0	19	1
I	1270000	1274999	  4.321	-2.564e-01	0	19	1
I	1275000	1279999	  4.143	-4.342e-01	0	19	1
I	1280000	1284999	  4.206	-3.710e-01	0	19	1
I	1285000	1289999	  4.321	-2.562e-01	0	19	1
I	1290000	1294999	  4.249	-3.288e-01	0	19	1
I	1295000	1299999	  4.252	-3.249e-01	0	19	1
I	1300000	1304999	  4.610	 3.255e-02	0	19	1
I	1305000	1309999	  4.985	 4.076e-01	0	19	1
I	1310000	1314999	  5.308	 7.305e-01	1	19.5	0
I	1315000	1319999	  5.287	 7.097e-01	0	20	1
I	1320000	1324999	  5.176	 5.990e-01	0	20	1
I	1325000	1329999	  4.984	 4.068e-01	0	20	1
I	1330000	1334999	  4.712	 1.343e-01	0	20	1
I	1335000	1339999	  4.493	-8.408e-02	0	20	1
I	1340000	1344999	  4.218	-3.596e-01	0	20	1
I	1345000	1349999	  3.950	-6.274e-01	0	20	1
I	1350000	1354999	  3.841	-7.366e-01	0	20	1
I	1355000	1359999	  3.899	-6.783e-01	0	20	1
I	1360000	1364999	  4.052	-5.254e-01	0	20	1
I	1365000	1369999	  4.210	-3.676e-01	0	20	1
I	1370000	1374999	  4.423	-1.541e-01	0	20	1
I	1375000	1379999	  4.422	-1.550e-01	0	20	1
I	1380000	1384999	  4.498	-7.905e-02	0	20	1
I	1385000	1389999	  4.498	-7.929e-02	0	20	1
I	1390000	1394999	  4.467	-1.107e-01	0	20	1
I	1395000	1399999	  4.577	-1.604e-04	0	20	1
I	1400000	1404999	  4.709	 1.317e-01	0	20	1
I	1405000	1409999	  4.760	 1.829e-01	1	20.5	0
I	1410000	1414999	  4.685	 1.073e-01	0	21	1
I	1415000	1419999	  4.331	-2.465e-01	0	21	1
I	1420000	1424999	  4.061	-5.162e-01	0	21	1
I	1425000	1429999	  3.858	-7.193e-01	0	21	1
I	1430000	1434999	  3.850	-7.272e-01	0	21	1
I	1435000	1439999	  3.889	-6.888e-01	0	21	1
I	1440000	1444999	  4.001	-5.762e-01	0	21	1
I	1445000	1449999	  4.204	-3.734e-01	0	21	1
I	1450000	1454999	  4.595	 1.776e-02	0	21	1
I	1455000	1459999	  5.111	 5.333e-01	0	21	1
I	1460000	1464999	  5.654	 1.077e+00	0	21	1
I	1465000	1469999	  4.611	 3.395e-02	0	21	1
I	1470000	1474999	  5.951	 1.287e+00	0	21	1
I	1475000	1479999	  5.978	 1.287e+00	0	21	1
I	1480000	1484999	  6.162	 1.287e+00	1	21.5	0
I	1485000	1489999	  5.458	 8.803e-01	0	22	1
I	1490000	1494999	  4.875	 2.980e-01	0	22	1
I	1495000	1499999	  4.632	 5.463e-02	0	22	1
I	1500000	1504999	  4.402	-1.757e-01	0	22	1
I	1505000	1509999	  4.337	-2.404e-01	0	22	1
I	1510000	1514999	  4.416	-1.610e-01	0	22	1
I	1515000	1519999	  4.304	-2.731e-01	0	22	1
I	1520000	1524999	  4.316	-2.610e-01	0	22	1
I	1525000	1529999	  4.405	-1.719e-01	0	22	1
I	1530000	1534999	  4.320	-2.569e-01	0	22	1
I	1535000	1539999	  4.348	-2.298e-01	0	22	1
I	1540000	1544999	  4.523	-5.456e-02	0	22	1
I	1545000	1549999	  4.867	 2.893e-01	0	22	1
I	1550000	1554999	  5.139	 5.612e-01	0	22	1
I	1555000	1559999	  5.210	 6.328e-01	0	22	1
I	1560000	1564999	  5.563	 9.859e-01	1	22.5	0
I	1565000	1569999	  4.438	-1.398e-01	0	23	1
I	1570000	1574999	  5.227	 6.494e-01	0	23	1
I	1575000	1579999	  4.810	 2.324e-01	0	23	1
I	1580000	1584999	  4.365	-2.120e-01	0	23	1
I	1585000	1589999	  4.148	-4.294e-01	0	23	1
I	1590000	1594999	  4.072	-5.051e-01	0	23	1
I	1595000	1599999	  4.068	-5.093e-01	0	23	1
I	1600000	1604999	  4.013	-5.647e-01	0	23	1
I	1605000	1609999	  4.145	-4.319e-01	0	23	1
I	1610000	1614999	  4.309	-2.681e-01	0	23	1
I	1615000	1619999	  4.442	-1.352e-01	0	23	1
I	1620000	1624999	  4.409	-1.682e-01	0	23	1
I	1625000	1629999	  4.300	-2.778e-01	0	23	1
I	1630000	1634999	  4.374	-2.029e-01	0	23	1
I	1635000	1639999	  4.402	-1.756e-01	0	23	1
I	1640000	1644999	  4.434	-1.436e-01	0	23	1
I	1645000	1649999	  4.428	-1.490e-01	0	23	1
I	1650000	1654999	  4.371	-2.068e-01	0	23	1
I	1655000	1659999	  4.267	-3.104e-01	0	23	1
I	1660000	1664999	  4.212	-3.658e-01	0	23	1
I	1665000	1669999	  4.182	-3.954e-01	0	23	1
I	1670000	1674999	  4.077	-5.001e-01	0	23	1
I	1675000	1679999	  4.037	-5.401e-01	0	23	1
I	1680000	1684999	  4.056	-5.209e-01	0	23	1
I	1685000	1689999	  4.180	-3.973e-01	0	23	1
I	1690000	1694999	  4.325	-2.525e-01	0	23	1
I	1695000	1699999	  4.492	-8.570e-02	0	23	1
I	1700000	1704999	  4.654	 7.668e-02	0	23	1
I	1705000	1709999	  4.662	 8.418e-02	0	23	1
I	1710000	1714999	  4.664	 8.678e-02	1	23.5	0
I	1715000	1719999	  4.650	 7.289e-02	0	24	0
I	1720000	1724999	  4.636	 5.843e-02	0	24	0
I	1725000	1729999	  4.724	 1.467e-01	0	24	0
I	1730000	1734999	  4.910	 3.322e-01	0	24	0
I	1735000	1739999	  4.914	 3.369e-01	1	24.5	0
I	1740000	1744999	  4.806	 2.285e-01	0	25	1
I	1745000	1749999	  4.657	 7.977e-02	0	25	1
I	1750000	1754999	  4.623	 4.606e-02	0	25	1
I	1755000	1759999	  4.629	 5.210e-02	0	25	1
I	1760000	1764999	  4.551	-2.644e-02	0	25	1
I	1765000	1769999	  4.598	 2.054e-02	0	25	1
I	1770000	1774999	  4.667	 8.964e-02	0	25	1
I	1775000	1779999	  4.739	 1.620e-01	0	25	1
I	1780000	1784999	  4.882	 3.044e-01	1	25.5	0
I	1785000	1789999	  4.719	 1.419e-01	0	26	0
I	1790000	1794999	  4.675	 9.723e-02	0	26	0
I	1795000	1799999	  4.793	 2.153e-01	1	26.5	0
I	1800000	1804999	  4.730	 1.529e-01	0	27	1
I	1805000	1809999	  4.628	 5.036e-02	0	27	1
I	1810000	1814999	  4.504	-7.379e-02	0	27	1
I	1815000	1819999	  4.606	 2.876e-02	0	27	1
I	1820000	1824999	  4.577	-1.277e-05	0	27	1
I	1825000	1829999	  4.285	-2.919e-01	0	27	1
I	1830000	1834999	  4.013	-5.642e-01	0	27	1
I	1835000	1839999	  3.871	-7.059e-01	0	27	1
I	1840000	1844999	  3.691	-8.859e-01	0	27	1
I	1845000	1849999	  3.696	-8.816e-01	0	27	1
I	1850000	1854999	  3.718	-8.590e-01	0	27	1
I	1855000	1859999	  3.706	-8.710e-01	0	27	1
I	1860000	1864999	  3.789	-7.886e-01	0	27	1
I	1865000	1869999	  3.805	-7.726e-01	0	27	1
I	1870000	1874999	  3.878	-6.992e-01	0	27	1
I	1875000	1879999	  3.938	-6.396e-01	0	27	1
I	1880000	1884999	  3.919	-6.584e-01	0	27	1
I	1885000	1889999	  4.071	-5.060e-01	0	27	1
I	1890000	1894999	  4.210	-3.678e-01	0	27	1
I	1895000	1899999	  4.514	-6.307e-02	0	27	1
I	1900000	1904999	  4.875	 2.979e-01	0	27	1
I	1905000	1909999	  5.153	 5.758e-01	0	27	1
I	1910000	1914999	  5.520	 9.425e-01	0	27	1
I	1915000	1919999	  5.875	 1.287e+00	1	27.5	0
I	1920000	1924999	  5.270	 6.924e-01	0	28	1
I	1925000	1929999	  4.869	 2.913e-01	0	28	1
I	1930000	1934999	  4.499	-7.800e-02	0	28	1
I	1935000	1939999	  4.214	-3.637e-01	0	28	1
I	1940000	1944999	  4.118	-4.594e-01	0	28	1
I	1945000	1949999	  3.905	-6.721e-01	0	28	1
I	1950000	1954999	  3.838	-7.395e-01	0	28	1
I	1955000	1959999	  3.962	-6.149e-01	0	28	1
I	1960000	1964999	  4.192	-3.857e-01	0	28	1
I	1965000	1969999	  4.420	-1.570e-01	0	28	1
I	1970000	1974999	  4.791	 2.139e-01	0	28	1
I	1975000	1979999	  5.016	 4.384e-01	0	28	1
I	1980000	1984999	  5.034	 4.571e-01	1	28.5	0
I	1985000	1989999	  5.023	 4.461e-01	0	29	0
I	1990000	1994999	  4.896	 3.191e-01	0	29	0
I	1995000	1999999	  4.857	 2.793e-01	0	29	0
I	2000000	2004999	  4.819	 2.414e-01	0	29	0
I	2005000	2009999	  4.976	 3.985e-01	1	29.5	0
I	2010000	2014999	  4.878	 3.009e-01	0	30	1
I	2015000	2019999	  4.503	-7.414e-02	0	30	1
I	2020000	2024999	  4.264	-3.137e-01	0	30	1
I	2025000	2029999	  4.114	-4.630e-01	0	30	1
I	2030000	2034999	  4.009	-5.686e-01	0	30	1
I	2035000	2039999	  3.960	-6.177e-01	0	30	1
I	2040000	2044999	  3.985	-5.925e-01	0	30	1
I	2045000	2049999	  3.925	-6.526e-01	0	30	1
I	2050000	2054999	  4.033	-5.439e-01	0	30	1
I	2055000	2059999	  4.149	-4.282e-01	0	30	1
I	2060000	2064999	  4.305	-2.720e-01	0	30	1
I	2065000	2069999	  4.509	-6.848e-02	0	30	1
I	2070000	2074999	  4.620	 4.243e-02	1	30.5	0
I	2075000	2079999	  4.602	 2.444e-02	0	31	1
I	2080000	2084999	  4.470	-1.077e-01	0	31	1
I	2085000	2089999	  4.352	-2.257e-01	0	31	1
I	2090000	2094999	  4.289	-2.879e-01	0	31	1
I	2095000	2099999	  4.244	-3.333e-01	0	31	1
I	2100000	2104999	  4.206	-3.710e-01	0	31	1
I	2105000	2109999	  4.259	-3.187e-01	0	31	1
I	2110000	2114999	  4.288	-2.897e-01	0	31	1
I	2115000	2119999	  4.301	-2.760e-01	0	31	1
I	2120000	2124999	  4.392	-1.850e-01	0	31	1
I	2125000	2129999	  4.481	-9.615e-02	0	31	1
I	2130000	2134999	  4.585	 8.094e-03	1	31.5	0
I	2135000	2139999	  4.581	 3.232e-03	0	32	1
I	2140000	2144999	  4.453	-1.240e-01	0	32	1
I	2145000	2149999	  4.377	-1.999e-01	0	32	1
I	2150000	2154999	  4.406	-1.710e-01	0	32	1
I	2155000	2159999	  4.587	 9.483e-03	0	32	1
I	2160000	2164999	  4.823	 2.458e-01	0	32	1
I	2165000	2169999	  4.971	 3.941e-01	0	32	1
I	2170000	2174999	  5.007	 4.297e-01	1	32.5	0
I	2175000	2179999	  4.776	 1.988e-01	0	33	1
I	2180000	2184999	  4.648	 7.064e-02	0	33	1
I	2185000	2189999	  4.548	-2.899e-02	0	33	1
I	2190000	2194999	  4.629	 5.210e-02	0	33	1
I	2195000	2199999	  4.914	 3.366e-01	0	33	1
I	2200000	2204999	  5.019	 4.412e-01	1	33.5	0
I	2205000	2209999	  4.867	 2.897e-01	0	34	0
I	2210000	2214999	  4.886	 3.088e-01	0	34	0
I	2215000	2219999	  4.941	 3.636e-01	1	34.5	0
I	2220000	2224999	  4.689	 1.114e-01	0	35	1
I	2225000	2229999	  4.612	 3.478e-02	0	35	1
I	2230000	2234999	  4.592	 1.475e-02	0	35	1
I	2235000	2239999	  4.520	-5.735e-02	0	35	1
I	2240000	2244999	  4.498	-7.980e-02	0	35	1
I	2245000	2249999	  4.609	 3.121e-02	0	35	1
I	2250000	2254999	  4.640	 6.219e-02	1	35.5	0
I	2255000	2259999	  4.489	-8.816e-02	0	36	1
I	2260000	2264999	  4.395	-1.827e-01	0	36	1
I	2265000	2269999	  4.253	-3.248e-01	0	36	1
I	2270000	2274999	  4.206	-3.712e-01	0	36	1
I	2275000	2279999	  4.281	-2.962e-01	0	36	1
I	2280000	2284999	  4.291	-2.862e-01	0	36	1
I	2285000	2289999	  4.258	-3.190e-01	0	36	1
I	2290000	2294999	  4.280	-2.977e-01	0	36	1
I	2295000	2299999	  4.379	-1.986e-01	0	36	1
I	2300000	2304999	  4.341	-2.367e-01	0	36	1
I	2305000	2309999	  4.198	-3.793e-01	0	36	1
I	2310000	2314999	  4.171	-4.063e-01	0	36	1
I	2315000	2319999	  4.144	-4.332e-01	0	36	1
I	2320000	2324999	  4.187	-3.908e-01	0	36	1
I	2325000	2329999	  4.299	-2.786e-01	0	36	1
I	2330000	2334999	  4.343	-2.341e-01	0	36	1
I	2335000	2339999	  4.246	-3.311e-01	0	36	1
I	2340000	2344999	  4.205	-3.722e-01	0	36	1
I	2345000	2349999	  4.264	-3.129e-01	0	36	1
I	2350000	2354999	  4.232	-3.456e-01	0	36	1
I	2355000	2359999	  4.229	-3.484e-01	0	36	1
I	2360000	2364999	  4.180	-3.977e-01	0	36	1
I	2365000	2369999	  4.229	-3.485e-01	0	36	1
I	2370000	2374999	  4.240	-3.376e-01	0	36	1
I	2375000	2379999	  4.207	-3.706e-01	0	36	1
I	2380000	2384999	  4.383	-1.947e-01	0	36	1
I	2385000	2389999	  4.459	-1.186e-01	0	36	1
I	2390000	2394999	  4.528	-4.885e-02	0	36	1
I	2395000	2399999	  4.426	-1.511e-01	0	36	1
I	2400000	2404999	  4.363	-2.146e-01	0	36	1
I	2405000	2409999	  4.259	-3.184e-01	0	36	1
I	2410000	2414999	  4.162	-4.156e-01	0	36	1
I	2415000	2419999	  4.268	-3.093e-01	0	36	1
I	2420000	2424999	  4.308	-2.692e-01	0	36	1
I	2425000	2429999	  4.375	-2.024e-01	0	36	1
I	2430000	2434999	  4.561	-1.666e-02	0	36	1
I	2435000	2439999	  4.967	 3.901e-01	0	36	1
I	2440000	2444999	  5.306	 7.291e-01	1	36.5	0
I	2445000	2449999	  5.305	 7.272e-01	0	37	1
I	2450000	2454999	  5.012	 4.348e-01	0	37	1
I	2455000	2459999	  4.577	-1.592e-04	0	37	1
I	2460000	2464999	  4.376	-2.015e-01	0	37	1
