bin	chr	start	end
178	I	35400	35599
179	I	35600	35799
180	I	35800	35999
181	I	36000	36199
182	I	36200	36399
183	I	36400	36599
184	I	36600	36799
185	I	36800	36999
186	I	37000	37199
187	I	37200	37399
188	I	37400	37599
189	I	37600	37799
190	I	37800	37999
191	I	38000	38199
192	I	38200	38399
193	I	38400	38599
194	I	38600	38799
195	I	38800	38999
196	I	39000	39199
197	I	39200	39399
198	I	39400	39599
199	I	39600	39799
200	I	39800	39999
201	I	40000	40199
202	I	40200	40399
203	I	40400	40599
204	I	40600	40799
205	I	40800	40999
206	I	41000	41199
207	I	41200	41399
208	I	41400	41599
209	I	41600	41799
210	I	41800	41999
211	I	42000	42199
212	I	42200	42399
213	I	42400	42599
214	I	42600	42799
215	I	42800	42999
216	I	43000	43199
217	I	43200	43399
218	I	43400	43599
219	I	43600	43799
220	I	43800	43999
221	I	44000	44199
222	I	44200	44399
223	I	44400	44599
224	I	44600	44799
225	I	44800	44999
226	I	45000	45199
227	I	45200	45399
228	I	45400	45599
229	I	45600	45799
230	I	45800	45999
231	I	46000	46199
232	I	46200	46399
233	I	46400	46599
234	I	46600	46799
235	I	46800	46999
236	I	47000	47199
237	I	47200	47399
238	I	47400	47599
239	I	47600	47799
240	I	47800	47999
241	I	48000	48199
242	I	48200	48399
243	I	48400	48599
244	I	48600	48799
245	I	48800	48999
246	I	49000	49199
247	I	49200	49399
248	I	49400	49599
249	I	49600	49799
250	I	49800	49999
251	I	50000	50199
252	I	50200	50399
253	I	50400	50599
254	I	50600	50799
255	I	50800	50999
256	I	51000	51199
257	I	51200	51399
258	I	51400	51599
259	I	51600	51799
260	I	51800	51999
261	I	52000	52199
262	I	52200	52399
263	I	52400	52599
264	I	52600	52799
265	I	52800	52999
266	I	53000	53199
267	I	53200	53399
268	I	53400	53599
269	I	53600	53799
270	I	53800	53999
271	I	54000	54199
272	I	54200	54399
273	I	54400	54599
274	I	54600	54799
275	I	54800	54999
276	I	55000	55199
277	I	55200	55399
278	I	55400	55599
279	I	55600	55799
280	I	55800	55999
281	I	56000	56199
282	I	56200	56399
283	I	56400	56599
284	I	56600	56799
285	I	56800	56999
286	I	57000	57199
287	I	57200	57399
288	I	57400	57599
289	I	57600	57799
290	I	57800	57999
291	I	58000	58199
292	I	58200	58399
293	I	58400	58599
294	I	58600	58799
295	I	58800	58999
296	I	59000	59199
297	I	59200	59399
298	I	59400	59599
299	I	59600	59799
300	I	59800	59999
301	I	60000	60199
302	I	60200	60399
303	I	60400	60599
304	I	60600	60799
305	I	60800	60999
306	I	61000	61199
307	I	61200	61399
308	I	61400	61599
309	I	61600	61799
310	I	61800	61999
311	I	62000	62199
312	I	62200	62399
313	I	62400	62599
314	I	62600	62799
315	I	62800	62999
316	I	63000	63199
317	I	63200	63399
318	I	63400	63599
319	I	63600	63799
320	I	63800	63999
321	I	64000	64199
322	I	64200	64399
323	I	64400	64599
324	I	64600	64799
325	I	64800	64999
326	I	65000	65199
327	I	65200	65399
328	I	65400	65599
329	I	65600	65799
330	I	65800	65999
331	I	66000	66199
332	I	66200	66399
333	I	66400	66599
334	I	66600	66799
335	I	66800	66999
336	I	67000	67199
337	I	67200	67399
338	I	67400	67599
339	I	67600	67799
340	I	67800	67999
341	I	68000	68199
342	I	68200	68399
343	I	68400	68599
344	I	68600	68799
345	I	68800	68999
346	I	69000	69199
347	I	69200	69399
348	I	69400	69599
349	I	69600	69799
350	I	69800	69999
351	I	70000	70199
352	I	70200	70399
353	I	70400	70599
354	I	70600	70799
355	I	70800	70999
356	I	71000	71199
357	I	71200	71399
358	I	71400	71599
359	I	71600	71799
360	I	71800	71999
361	I	72000	72199
362	I	72200	72399
363	I	72400	72599
364	I	72600	72799
365	I	72800	72999
366	I	73000	73199
367	I	73200	73399
368	I	73400	73599
369	I	73600	73799
370	I	73800	73999
371	I	74000	74199
372	I	74200	74399
373	I	74400	74599
374	I	74600	74799
375	I	74800	74999
376	I	75000	75199
377	I	75200	75399
378	I	75400	75599
379	I	75600	75799
380	I	75800	75999
381	I	76000	76199
382	I	76200	76399
383	I	76400	76599
384	I	76600	76799
385	I	76800	76999
386	I	77000	77199
387	I	77200	77399
388	I	77400	77599
389	I	77600	77799
390	I	77800	77999
391	I	78000	78199
392	I	78200	78399
393	I	78400	78599
394	I	78600	78799
395	I	78800	78999
396	I	79000	79199
397	I	79200	79399
398	I	79400	79599
399	I	79600	79799
400	I	79800	79999
401	I	80000	80199
402	I	80200	80399
403	I	80400	80599
404	I	80600	80799
405	I	80800	80999
406	I	81000	81199
407	I	81200	81399
408	I	81400	81599
409	I	81600	81799
410	I	81800	81999
411	I	82000	82199
412	I	82200	82399
413	I	82400	82599
414	I	82600	82799
415	I	82800	82999
416	I	83000	83199
417	I	83200	83399
418	I	83400	83599
419	I	83600	83799
420	I	83800	83999
421	I	84000	84199
422	I	84200	84399
423	I	84400	84599
424	I	84600	84799
425	I	84800	84999
426	I	85000	85199
427	I	85200	85399
428	I	85400	85599
429	I	85600	85799
430	I	85800	85999
431	I	86000	86199
432	I	86200	86399
433	I	86400	86599
434	I	86600	86799
435	I	86800	86999
436	I	87000	87199
437	I	87200	87399
438	I	87400	87599
439	I	87600	87799
440	I	87800	87999
441	I	88000	88199
442	I	88200	88399
443	I	88400	88599
444	I	88600	88799
445	I	88800	88999
446	I	89000	89199
447	I	89200	89399
448	I	89400	89599
449	I	89600	89799
450	I	89800	89999
451	I	90000	90199
452	I	90200	90399
453	I	90400	90599
454	I	90600	90799
455	I	90800	90999
456	I	91000	91199
457	I	91200	91399
458	I	91400	91599
459	I	91600	91799
460	I	91800	91999
461	I	92000	92199
462	I	92200	92399
463	I	92400	92599
464	I	92600	92799
465	I	92800	92999
466	I	93000	93199
467	I	93200	93399
468	I	93400	93599
469	I	93600	93799
470	I	93800	93999
471	I	94000	94199
472	I	94200	94399
473	I	94400	94599
474	I	94600	94799
475	I	94800	94999
476	I	95000	95199
477	I	95200	95399
478	I	95400	95599
479	I	95600	95799
480	I	95800	95999
481	I	96000	96199
482	I	96200	96399
483	I	96400	96599
484	I	96600	96799
485	I	96800	96999
486	I	97000	97199
487	I	97200	97399
488	I	97400	97599
489	I	97600	97799
490	I	97800	97999
491	I	98000	98199
492	I	98200	98399
493	I	98400	98599
494	I	98600	98799
495	I	98800	98999
496	I	99000	99199
497	I	99200	99399
498	I	99400	99599
499	I	99600	99799
500	I	99800	99999
501	I	100000	100199
502	I	100200	100399
503	I	100400	100599
504	I	100600	100799
505	I	100800	100999
506	I	101000	101199
507	I	101200	101399
508	I	101400	101599
509	I	101600	101799
510	I	101800	101999
511	I	102000	102199
512	I	102200	102399
513	I	102400	102599
514	I	102600	102799
515	I	102800	102999
516	I	103000	103199
517	I	103200	103399
518	I	103400	103599
519	I	103600	103799
520	I	103800	103999
521	I	104000	104199
522	I	104200	104399
523	I	104400	104599
524	I	104600	104799
525	I	104800	104999
526	I	105000	105199
527	I	105200	105399
528	I	105400	105599
529	I	105600	105799
530	I	105800	105999
531	I	106000	106199
532	I	106200	106399
533	I	106400	106599
534	I	106600	106799
535	I	106800	106999
536	I	107000	107199
537	I	107200	107399
538	I	107400	107599
539	I	107600	107799
540	I	107800	107999
541	I	108000	108199
542	I	108200	108399
543	I	108400	108599
544	I	108600	108799
545	I	108800	108999
546	I	109000	109199
547	I	109200	109399
548	I	109400	109599
549	I	109600	109799
550	I	109800	109999
551	I	110000	110199
552	I	110200	110399
553	I	110400	110599
554	I	110600	110799
555	I	110800	110999
556	I	111000	111199
557	I	111200	111399
558	I	111400	111599
559	I	111600	111799
560	I	111800	111999
561	I	112000	112199
562	I	112200	112399
563	I	112400	112599
564	I	112600	112799
565	I	112800	112999
566	I	113000	113199
567	I	113200	113399
568	I	113400	113599
569	I	113600	113799
570	I	113800	113999
571	I	114000	114199
572	I	114200	114399
573	I	114400	114599
574	I	114600	114799
575	I	114800	114999
576	I	115000	115199
577	I	115200	115399
578	I	115400	115599
579	I	115600	115799
580	I	115800	115999
581	I	116000	116199
582	I	116200	116399
583	I	116400	116599
584	I	116600	116799
585	I	116800	116999
586	I	117000	117199
587	I	117200	117399
588	I	117400	117599
589	I	117600	117799
590	I	117800	117999
591	I	118000	118199
592	I	118200	118399
593	I	118400	118599
594	I	118600	118799
595	I	118800	118999
596	I	119000	119199
597	I	119200	119399
598	I	119400	119599
599	I	119600	119799
600	I	119800	119999
601	I	120000	120199
602	I	120200	120399
603	I	120400	120599
604	I	120600	120799
605	I	120800	120999
606	I	121000	121199
607	I	121200	121399
608	I	121400	121599
609	I	121600	121799
610	I	121800	121999
611	I	122000	122199
612	I	122200	122399
613	I	122400	122599
614	I	122600	122799
615	I	122800	122999
616	I	123000	123199
617	I	123200	123399
618	I	123400	123599
619	I	123600	123799
620	I	123800	123999
621	I	124000	124199
622	I	124200	124399
623	I	124400	124599
624	I	124600	124799
625	I	124800	124999
626	I	125000	125199
627	I	125200	125399
628	I	125400	125599
629	I	125600	125799
630	I	125800	125999
631	I	126000	126199
632	I	126200	126399
633	I	126400	126599
634	I	126600	126799
635	I	126800	126999
636	I	127000	127199
637	I	127200	127399
638	I	127400	127599
639	I	127600	127799
640	I	127800	127999
641	I	128000	128199
642	I	128200	128399
643	I	128400	128599
644	I	128600	128799
645	I	128800	128999
646	I	129000	129199
647	I	129200	129399
648	I	129400	129599
649	I	129600	129799
650	I	129800	129999
651	I	130000	130199
652	I	130200	130399
653	I	130400	130599
654	I	130600	130799
655	I	130800	130999
656	I	131000	131199
657	I	131200	131399
658	I	131400	131599
659	I	131600	131799
660	I	131800	131999
661	I	132000	132199
662	I	132200	132399
663	I	132400	132599
664	I	132600	132799
665	I	132800	132999
666	I	133000	133199
667	I	133200	133399
668	I	133400	133599
669	I	133600	133799
670	I	133800	133999
671	I	134000	134199
672	I	134200	134399
673	I	134400	134599
674	I	134600	134799
675	I	134800	134999
676	I	135000	135199
677	I	135200	135399
678	I	135400	135599
679	I	135600	135799
680	I	135800	135999
681	I	136000	136199
682	I	136200	136399
683	I	136400	136599
684	I	136600	136799
685	I	136800	136999
686	I	137000	137199
687	I	137200	137399
688	I	137400	137599
689	I	137600	137799
690	I	137800	137999
691	I	138000	138199
692	I	138200	138399
693	I	138400	138599
694	I	138600	138799
695	I	138800	138999
696	I	139000	139199
697	I	139200	139399
698	I	139400	139599
699	I	139600	139799
700	I	139800	139999
701	I	140000	140199
702	I	140200	140399
703	I	140400	140599
704	I	140600	140799
705	I	140800	140999
706	I	141000	141199
707	I	141200	141399
708	I	141400	141599
709	I	141600	141799
710	I	141800	141999
711	I	142000	142199
712	I	142200	142399
713	I	142400	142599
714	I	142600	142799
715	I	142800	142999
716	I	143000	143199
717	I	143200	143399
718	I	143400	143599
719	I	143600	143799
720	I	143800	143999
721	I	144000	144199
722	I	144200	144399
723	I	144400	144599
724	I	144600	144799
725	I	144800	144999
726	I	145000	145199
727	I	145200	145399
728	I	145400	145599
729	I	145600	145799
730	I	145800	145999
731	I	146000	146199
732	I	146200	146399
733	I	146400	146599
734	I	146600	146799
735	I	146800	146999
736	I	147000	147199
737	I	147200	147399
738	I	147400	147599
739	I	147600	147799
740	I	147800	147999
741	I	148000	148199
742	I	148200	148399
743	I	148400	148599
744	I	148600	148799
745	I	148800	148999
746	I	149000	149199
747	I	149200	149399
748	I	149400	149599
749	I	149600	149799
750	I	149800	149999
751	I	150000	150199
752	I	150200	150399
753	I	150400	150599
754	I	150600	150799
755	I	150800	150999
756	I	151000	151199
757	I	151200	151399
758	I	151400	151599
759	I	151600	151799
760	I	151800	151999
761	I	152000	152199
762	I	152200	152399
763	I	152400	152599
764	I	152600	152799
765	I	152800	152999
766	I	153000	153199
767	I	153200	153399
768	I	153400	153599
769	I	153600	153799
770	I	153800	153999
771	I	154000	154199
772	I	154200	154399
773	I	154400	154599
774	I	154600	154799
775	I	154800	154999
776	I	155000	155199
777	I	155200	155399
778	I	155400	155599
779	I	155600	155799
780	I	155800	155999
781	I	156000	156199
782	I	156200	156399
783	I	156400	156599
784	I	156600	156799
785	I	156800	156999
786	I	157000	157199
787	I	157200	157399
788	I	157400	157599
789	I	157600	157799
790	I	157800	157999
791	I	158000	158199
792	I	158200	158399
793	I	158400	158599
794	I	158600	158799
795	I	158800	158999
796	I	159000	159199
797	I	159200	159399
798	I	159400	159599
799	I	159600	159799
800	I	159800	159999
801	I	160000	160199
802	I	160200	160399
803	I	160400	160599
804	I	160600	160799
805	I	160800	160999
806	I	161000	161199
807	I	161200	161399
808	I	161400	161599
809	I	161600	161799
810	I	161800	161999
811	I	162000	162199
812	I	162200	162399
813	I	162400	162599
814	I	162600	162799
815	I	162800	162999
816	I	163000	163199
817	I	163200	163399
818	I	163400	163599
819	I	163600	163799
820	I	163800	163999
821	I	164000	164199
822	I	164200	164399
823	I	164400	164599
824	I	164600	164799
825	I	164800	164999
826	I	165000	165199
827	I	165200	165399
828	I	165400	165599
829	I	165600	165799
830	I	165800	165999
831	I	166000	166199
832	I	166200	166399
833	I	166400	166599
834	I	166600	166799
835	I	166800	166999
836	I	167000	167199
837	I	167200	167399
838	I	167400	167599
839	I	167600	167799
840	I	167800	167999
841	I	168000	168199
842	I	168200	168399
843	I	168400	168599
844	I	168600	168799
845	I	168800	168999
846	I	169000	169199
847	I	169200	169399
848	I	169400	169599
849	I	169600	169799
850	I	169800	169999
851	I	170000	170199
852	I	170200	170399
853	I	170400	170599
854	I	170600	170799
855	I	170800	170999
856	I	171000	171199
857	I	171200	171399
858	I	171400	171599
859	I	171600	171799
860	I	171800	171999
861	I	172000	172199
862	I	172200	172399
863	I	172400	172599
864	I	172600	172799
865	I	172800	172999
866	I	173000	173199
867	I	173200	173399
868	I	173400	173599
869	I	173600	173799
870	I	173800	173999
871	I	174000	174199
872	I	174200	174399
873	I	174400	174599
874	I	174600	174799
875	I	174800	174999
876	I	175000	175199
877	I	175200	175399
878	I	175400	175599
879	I	175600	175799
880	I	175800	175999
881	I	176000	176199
882	I	176200	176399
883	I	176400	176599
884	I	176600	176799
885	I	176800	176999
886	I	177000	177199
887	I	177200	177399
888	I	177400	177599
889	I	177600	177799
890	I	177800	177999
891	I	178000	178199
892	I	178200	178399
893	I	178400	178599
894	I	178600	178799
895	I	178800	178999
896	I	179000	179199
897	I	179200	179399
898	I	179400	179599
899	I	179600	179799
900	I	179800	179999
901	I	180000	180199
902	I	180200	180399
903	I	180400	180599
904	I	180600	180799
905	I	180800	180999
906	I	181000	181199
907	I	181200	181399
908	I	181400	181599
909	I	181600	181799
910	I	181800	181999
911	I	182000	182199
912	I	182200	182399
913	I	182400	182599
914	I	182600	182799
915	I	182800	182999
916	I	183000	183199
917	I	183200	183399
918	I	183400	183599
919	I	183600	183799
920	I	183800	183999
921	I	184000	184199
922	I	184200	184399
923	I	184400	184599
924	I	184600	184799
925	I	184800	184999
926	I	185000	185199
927	I	185200	185399
928	I	185400	185599
929	I	185600	185799
930	I	185800	185999
931	I	186000	186199
932	I	186200	186399
933	I	186400	186599
934	I	186600	186799
935	I	186800	186999
936	I	187000	187199
937	I	187200	187399
938	I	187400	187599
939	I	187600	187799
940	I	187800	187999
941	I	188000	188199
942	I	188200	188399
943	I	188400	188599
944	I	188600	188799
945	I	188800	188999
946	I	189000	189199
947	I	189200	189399
948	I	189400	189599
949	I	189600	189799
950	I	189800	189999
951	I	190000	190199
952	I	190200	190399
953	I	190400	190599
954	I	190600	190799
955	I	190800	190999
956	I	191000	191199
957	I	191200	191399
958	I	191400	191599
959	I	191600	191799
960	I	191800	191999
961	I	192000	192199
962	I	192200	192399
963	I	192400	192599
964	I	192600	192799
965	I	192800	192999
966	I	193000	193199
967	I	193200	193399
968	I	193400	193599
969	I	193600	193799
970	I	193800	193999
971	I	194000	194199
972	I	194200	194399
973	I	194400	194599
974	I	194600	194799
975	I	194800	194999
976	I	195000	195199
977	I	195200	195399
978	I	195400	195599
979	I	195600	195799
980	I	195800	195999
981	I	196000	196199
982	I	196200	196399
983	I	196400	196599
984	I	196600	196799
985	I	196800	196999
986	I	197000	197199
987	I	197200	197399
988	I	197400	197599
989	I	197600	197799
990	I	197800	197999
991	I	198000	198199
992	I	198200	198399
993	I	198400	198599
994	I	198600	198799
995	I	198800	198999
996	I	199000	199199
997	I	199200	199399
998	I	199400	199599
999	I	199600	199799
1000	I	199800	199999
1001	I	200000	200199
1002	I	200200	200399
1003	I	200400	200599
1004	I	200600	200799
1005	I	200800	200999
1006	I	201000	201199
1007	I	201200	201399
1008	I	201400	201599
1009	I	201600	201799
1010	I	201800	201999
1011	I	202000	202199
1012	I	202200	202399
1013	I	202400	202599
1014	I	202600	202799
1015	I	202800	202999
1016	I	203000	203199
1017	I	203200	203399
1018	I	203400	203599
1019	I	203600	203799
1020	I	203800	203999
1021	I	204000	204199
1022	I	204200	204399
1023	I	204400	204599
1024	I	204600	204799
1025	I	204800	204999
1026	I	205000	205199
1027	I	205200	205399
1028	I	205400	205599
1029	I	205600	205799
1030	I	205800	205999
1031	I	206000	206199
1032	I	206200	206399
1033	I	206400	206599
1034	I	206600	206799
1035	I	206800	206999
1036	I	207000	207199
1037	I	207200	207399
1038	I	207400	207599
1039	I	207600	207799
1040	I	207800	207999
1041	I	208000	208199
1042	I	208200	208399
1043	I	208400	208599
1044	I	208600	208799
1045	I	208800	208999
1046	I	209000	209199
1047	I	209200	209399
1048	I	209400	209599
1049	I	209600	209799
1050	I	209800	209999
1051	I	210000	210199
1052	I	210200	210399
1053	I	210400	210599
1054	I	210600	210799
1055	I	210800	210999
1056	I	211000	211199
1057	I	211200	211399
1058	I	211400	211599
1059	I	211600	211799
1060	I	211800	211999
1061	I	212000	212199
1062	I	212200	212399
1063	I	212400	212599
1064	I	212600	212799
1065	I	212800	212999
1066	I	213000	213199
1067	I	213200	213399
1068	I	213400	213599
1069	I	213600	213799
1070	I	213800	213999
1071	I	214000	214199
1072	I	214200	214399
1073	I	214400	214599
1074	I	214600	214799
1075	I	214800	214999
1076	I	215000	215199
1077	I	215200	215399
1078	I	215400	215599
1079	I	215600	215799
1080	I	215800	215999
1081	I	216000	216199
1082	I	216200	216399
1083	I	216400	216599
1084	I	216600	216799
1085	I	216800	216999
1086	I	217000	217199
1087	I	217200	217399
1088	I	217400	217599
1089	I	217600	217799
1090	I	217800	217999
1091	I	218000	218199
1092	I	218200	218399
1093	I	218400	218599
1094	I	218600	218799
1095	I	218800	218999
1096	I	219000	219199
1097	I	219200	219399
1098	I	219400	219599
1099	I	219600	219799
1100	I	219800	219999
1101	I	220000	220199
1102	I	220200	220399
1103	I	220400	220599
1104	I	220600	220799
1105	I	220800	220999
1106	I	221000	221199
1107	I	221200	221399
1108	I	221400	221599
1109	I	221600	221799
1110	I	221800	221999
1111	I	222000	222199
1112	I	222200	222399
1113	I	222400	222599
1114	I	222600	222799
1115	I	222800	222999
1116	I	223000	223199
1117	I	223200	223399
1118	I	223400	223599
1119	I	223600	223799
1120	I	223800	223999
1121	I	224000	224199
1122	I	224200	224399
1123	I	224400	224599
1124	I	224600	224799
1125	I	224800	224999
1126	I	225000	225199
1127	I	225200	225399
1128	I	225400	225599
1129	I	225600	225799
1130	I	225800	225999
1131	I	226000	226199
1132	I	226200	226399
1133	I	226400	226599
1134	I	226600	226799
1135	I	226800	226999
1136	I	227000	227199
1137	I	227200	227399
1138	I	227400	227599
1139	I	227600	227799
1140	I	227800	227999
1141	I	228000	228199
1142	I	228200	228399
1143	I	228400	228599
1144	I	228600	228799
1145	I	228800	228999
1146	I	229000	229199
1147	I	229200	229399
1148	I	229400	229599
1149	I	229600	229799
1150	I	229800	229999
1151	I	230000	230199
1152	I	230200	230399
1153	I	230400	230599
1154	I	230600	230799
1155	I	230800	230999
1156	I	231000	231199
1157	I	231200	231399
1158	I	231400	231599
1159	I	231600	231799
1160	I	231800	231999
1161	I	232000	232199
1162	I	232200	232399
1163	I	232400	232599
1164	I	232600	232799
1165	I	232800	232999
1166	I	233000	233199
1167	I	233200	233399
1168	I	233400	233599
1169	I	233600	233799
1170	I	233800	233999
1171	I	234000	234199
1172	I	234200	234399
1173	I	234400	234599
1174	I	234600	234799
1175	I	234800	234999
1176	I	235000	235199
1177	I	235200	235399
1178	I	235400	235599
1179	I	235600	235799
1180	I	235800	235999
1181	I	236000	236199
1182	I	236200	236399
1183	I	236400	236599
1184	I	236600	236799
1185	I	236800	236999
1186	I	237000	237199
1187	I	237200	237399
1188	I	237400	237599
1189	I	237600	237799
1190	I	237800	237999
1191	I	238000	238199
1192	I	238200	238399
1193	I	238400	238599
1194	I	238600	238799
1195	I	238800	238999
1196	I	239000	239199
1197	I	239200	239399
1198	I	239400	239599
1199	I	239600	239799
1200	I	239800	239999
1201	I	240000	240199
1202	I	240200	240399
1203	I	240400	240599
1204	I	240600	240799
1205	I	240800	240999
1206	I	241000	241199
1207	I	241200	241399
1208	I	241400	241599
1209	I	241600	241799
1210	I	241800	241999
1211	I	242000	242199
1212	I	242200	242399
1213	I	242400	242599
1214	I	242600	242799
1215	I	242800	242999
1216	I	243000	243199
1217	I	243200	243399
1218	I	243400	243599
1219	I	243600	243799
1220	I	243800	243999
1221	I	244000	244199
1222	I	244200	244399
1223	I	244400	244599
1224	I	244600	244799
1225	I	244800	244999
1226	I	245000	245199
1227	I	245200	245399
1228	I	245400	245599
1229	I	245600	245799
1230	I	245800	245999
1231	I	246000	246199
1232	I	246200	246399
1233	I	246400	246599
1234	I	246600	246799
1235	I	246800	246999
1236	I	247000	247199
1237	I	247200	247399
1238	I	247400	247599
1239	I	247600	247799
1240	I	247800	247999
1241	I	248000	248199
1242	I	248200	248399
1243	I	248400	248599
1244	I	248600	248799
1245	I	248800	248999
1246	I	249000	249199
1247	I	249200	249399
1248	I	249400	249599
1249	I	249600	249799
1250	I	249800	249999
1251	I	250000	250199
1252	I	250200	250399
1253	I	250400	250599
1254	I	250600	250799
1255	I	250800	250999
1256	I	251000	251199
1257	I	251200	251399
1258	I	251400	251599
1259	I	251600	251799
1260	I	251800	251999
1261	I	252000	252199
1262	I	252200	252399
1263	I	252400	252599
1264	I	252600	252799
1265	I	252800	252999
1266	I	253000	253199
1267	I	253200	253399
1268	I	253400	253599
1269	I	253600	253799
1270	I	253800	253999
1271	I	254000	254199
1272	I	254200	254399
1273	I	254400	254599
1274	I	254600	254799
1275	I	254800	254999
1276	I	255000	255199
1277	I	255200	255399
1278	I	255400	255599
1279	I	255600	255799
1280	I	255800	255999
1281	I	256000	256199
1282	I	256200	256399
1283	I	256400	256599
1284	I	256600	256799
1285	I	256800	256999
1286	I	257000	257199
1287	I	257200	257399
1288	I	257400	257599
1289	I	257600	257799
1290	I	257800	257999
1291	I	258000	258199
1292	I	258200	258399
1293	I	258400	258599
1294	I	258600	258799
1295	I	258800	258999
1296	I	259000	259199
1297	I	259200	259399
1298	I	259400	259599
1299	I	259600	259799
1300	I	259800	259999
1301	I	260000	260199
1302	I	260200	260399
1303	I	260400	260599
1304	I	260600	260799
1305	I	260800	260999
1306	I	261000	261199
1307	I	261200	261399
1308	I	261400	261599
1309	I	261600	261799
1310	I	261800	261999
1311	I	262000	262199
1312	I	262200	262399
1313	I	262400	262599
1314	I	262600	262799
1315	I	262800	262999
1316	I	263000	263199
1317	I	263200	263399
1318	I	263400	263599
1319	I	263600	263799
1320	I	263800	263999
1321	I	264000	264199
1322	I	264200	264399
1323	I	264400	264599
1324	I	264600	264799
1325	I	264800	264999
1326	I	265000	265199
1327	I	265200	265399
1328	I	265400	265599
1329	I	265600	265799
1330	I	265800	265999
1331	I	266000	266199
1332	I	266200	266399
1333	I	266400	266599
1334	I	266600	266799
1335	I	266800	266999
1336	I	267000	267199
1337	I	267200	267399
1338	I	267400	267599
1339	I	267600	267799
1340	I	267800	267999
1341	I	268000	268199
1342	I	268200	268399
1343	I	268400	268599
1344	I	268600	268799
1345	I	268800	268999
1346	I	269000	269199
1347	I	269200	269399
1348	I	269400	269599
1349	I	269600	269799
1350	I	269800	269999
1351	I	270000	270199
1352	I	270200	270399
1353	I	270400	270599
1354	I	270600	270799
1355	I	270800	270999
1356	I	271000	271199
1357	I	271200	271399
1358	I	271400	271599
1359	I	271600	271799
1360	I	271800	271999
1361	I	272000	272199
1362	I	272200	272399
